hpirank,country,region,lifeexp,wellbein,happylif,footprin,hpindex,gdpcap,govern,gini2,lgovern
40,Moldova,7b,69.300003,5.5897365,45.669937,2.0962803,47.960823,3109.8376,87,38,4.4659081
145,Mongolia,7a,68.5,4.5855236,39.824291,5.5307298,26.766451,4035.8701,70,36.5,4.2484951
42,Morocco,3a,72.199997,4.3832474,40.846241,1.3235444,47.886982,4712.0137,79,40.900002,4.3694477
114,Mozambique,4a,50.200001,4.653583,29.449257,.7843104,35.74847,942.0636,71,45.599998,4.2626801
61,Myanmar,5a,65.199997,5.3219771,41.618191,1.9356828,44.197842,1950.2257,149,,5.0039463
96,Namibia,4a,62.5,4.8855872,37.786007,2.0337217,38.882912,6474.5674,47,70.699997,3.8501475
58,Nepal,5a,68.800003,3.8094447,35.870495,.75944638,45.621834,1198.8632,121,47.200001,4.7957907
67,Netherlands,2c,80.699997,7.5018759,65.113281,6.3355317,43.088314,42164.504,8,30.9,2.0794415
28,New Zealand,2a,80.699997,7.2237563,63.377991,4.3131628,51.557034,29534.516,4,36.200001,1.3862944
8,Nicaragua,1a,74,5.6866994,49.322079,1.5598466,57.063404,2913.2788,108,40.5,4.6821313
144,Niger,4c,54.700001,4.101016,29.752234,2.5892985,26.833261,727.99493,109,34,4.6913481
125,Nigeria,4c,51.900002,4.7602758,30.874664,1.4404814,33.622921,2399.3894,135,43.700001,4.9052749
29,Norway,2d,81.099998,7.6322875,66.253746,4.7693939,51.428581,57230.891,7,25,1.9459101
16,Pakistan,5a,65.400002,5.2671862,41.468807,.7536816,54.139713,2687.6382,132,30.6,4.882802
30,Palestine,3b,72.800003,4.8452163,43.785908,1.40122,51.192329,2613,,35.5,
7,Panama,1a,76.099998,7.3214674,60.340271,2.9655423,57.798588,13607.827,56,51.900002,4.0253515
57,Paraguay,1b,72.5,5.8411741,49.188194,2.9948225,45.825615,5181.2837,105,53.200001,4.6539602
24,Peru,1b,74,5.6127853,48.899189,2.0299349,52.369015,9537.7041,68,46,4.2195077
25,Philippines,6c,68.699997,4.941514,41.83144,.98272699,52.354275,3969.251,97,45.799999,4.5747108
71,Poland,7b,76.099998,5.7803302,51.272655,3.9376812,42.580044,19884.555,31,34.200001,3.4339871
97,Portugal,2e,79.5,4.8727207,47.984715,4.1167884,38.67757,25415.543,26,38.5,3.2580965
149,Qatar,3b,78.400002,6.5916042,57.739861,11.676224,25.192451,80943.891,38,41.099998,3.6375861
75,Romania,7b,74,4.9091659,44.873535,2.8373218,42.182449,14524.304,50,33.299999,3.9120231
122,Russia,7c,68.800003,5.4647789,44.675739,4.3962288,34.51825,19891.354,111,42,4.7095304
108,Rwanda,4b,55.400002,4.0297618,29.827772,.70908004,36.853996,1163.3817,69,46.799999,4.2341065
56,Saudi Arabia,3b,73.900002,6.7269182,55.198845,3.9884965,45.965382,22713.484,74,,4.3040652
126,Senegal,4c,59.299999,3.8342016,31.030952,1.5312397,33.312416,1934.9592,89,41.299999,4.4886365
79,Serbia,7b,74.5,4.4613042,42.597046,2.5673227,41.276146,11348.732,64,28.200001,4.1588831
139,Sierra Leone,4c,47.799999,4.133956,26.120945,1.1317433,28.808163,826.91388,106,62.900002,4.6634393
90,Singapore,6b,81.099998,6.5314016,59.350864,6.100924,39.781933,57932.426,12,47.299999,2.4849067
89,Slovakia,7b,75.400002,6.0522232,52.386055,4.6608143,40.132381,23302.834,32,26,3.4657359
87,Slovenia,7b,79.300003,6.0825553,55.281647,5.2114239,40.174397,26925.211,28,28.4,3.3322046
142,South Africa,4a,52.799999,4.6524286,30.969803,2.5892608,28.190113,10565.184,48,65,3.871201
62,Spain,2e,81.400002,6.1882625,57.41087,4.7401261,44.062794,32230.359,29,32,3.3672957
35,Sri Lanka,5a,74.900002,4.1805692,41.200035,1.206349,49.382587,5077.9702,85,49,4.4426513
101,Sudan,4b,61.5,4.3750973,34.754097,1.6303345,37.573654,2255.7515,147,45.5,4.9904327
52,Sweden,2d,81.400002,7.4960189,65.64122,5.7083559,46.172371,39024.176,3,23,1.0986123
34,Switzerland,2c,82.300003,7.5245209,66.54834,5.0130668,50.338646,46384.492,6,33.700001,1.7917595
47,Syria,3b,75.900002,4.0658245,41.076748,1.4544908,47.11982,5285.0244,123,35.779999,4.8121843
43,Tajikistan,7a,67.5,4.3806362,38.173649,.90064275,47.789314,2162.769,131,32.599998,4.8751974
133,Tanzania,4b,58.200001,3.2291291,27.732651,1.1923828,30.740734,1433.9906,81,37.599998,4.3944492
20,Thailand,6c,74.099998,6.2167029,52.425167,2.4118447,53.457642,8553.8057,82,53.599998,4.4067192
141,Togo,4c,57.099998,2.8078551,25.348688,1.0318727,28.231489,998.0235,120,35.799999,4.7874918
136,Trinidad and Tobago,1a,70.099998,6.696444,52.195309,7.5599418,30.267267,25738.627,54,40.299999,3.9889841
39,Tunisia,3a,74.5,4.6859808,43.891182,1.764818,48.298367,9549.8389,66,40,4.1896548
44,Turkey,3b,74,5.4903474,48.198677,2.554785,47.623543,15686.86,57,40.200001,4.0430512
95,Turkmenistan,7a,65,6.5677133,47.750996,3.9830012,39.078873,8273.6436,144,40.799999,4.9698133
131,Uganda,4b,54.099998,4.1928821,29.810139,1.5654905,31.526207,1272.4581,100,44.299999,4.6051702
100,Ukraine,7c,68.5,5.0575614,42.324257,3.1939759,37.583248,6720.9722,96,27.5,4.5643482
130,United Arab Emirates,3b,76.5,7.1968031,59.92009,8.880909,31.778275,47213.367,43,,3.7612002
41,United Kingdom,2c,80.199997,7.0293641,61.779945,4.7131095,47.925476,35686.199,17,34,2.8332133
105,United States of America,2b,78.5,7.1636162,61.285206,7.1891332,37.340107,47153.008,21,45,3.0445225
93,Uruguay,1c,77,6.0620108,53.555965,5.078661,39.320976,14108.074,30,45.299999,3.4011974
54,Uzbekistan,7a,68.300003,5.0953422,42.400192,1.8198118,46.002762,3106.0491,142,36.799999,4.9558272
9,Venezuela,1b,74.400002,7.4784546,59.895363,3.0245721,56.871441,12232.805,140,39,4.9416423
2,Vietnam,6c,75.199997,5.7673445,50.590778,1.3909744,60.438992,3205.1357,94,37.599998,4.5432949
68,Yemen,3b,65.5,3.9241419,34.730808,.87118286,42.966751,2653.0688,138,37.700001,4.9272537
99,Zambia,4a,49,5.2603607,31.044044,.84081429,37.73357,1561.9384,83,50.799999,4.4188404
115,Zimbabwe,4a,51.400002,4.8456421,30.916468,1.1702499,35.317169,376,146,50.099998,4.9836068
